"query","search interest","increase percent"
"music genres list",2,"850%"
"goodreads",8,"400%"
"realistic fiction",2,"130%"
"genres of music",9,"110%"
"historical fiction",5,"110%"
"book categories",3,"100%"
"music genres",13,"100%"
"good reads",1,"90%"
"best book genres",28,"90%"
"agatha christie",0,"80%"
"types of genres in books",2,"70%"
"children's book genres",3,"60%"
"historical fiction books",2,"60%"
"classic books",1,"60%"
"list of book genres",15,"60%"
"book genres for adults",3,"60%"
"list of genres",15,"50%"
"dystopian books",1,"50%"
"popular book genres",20,"50%"
"science fiction",4,"40%"
"fantasy",11,"40%"
"most popular book genres",10,"40%"
"movie genres",9,"40%"
"genres of book",100,"40%"
"all book genres",17,"40%"
"romance genres",10,"30%"
"what are book genres",31,"30%"
"the bedford book of genres",0,"30%"
"what are some book genres",5,"30%"
"book topics",2,"30%"
"book themes",5,"30%"
"literary fiction",2,"30%"
"book genres explained",2,"30%"
"book tropes",2,"30%"
"sci fi books",1,"30%"
"bedford book of genres",1,"30%"
"dystopian",2,"30%"
"book genres fiction",25,"30%"
"fiction book genres",25,"20%"
"fiction definition",1,"20%"
"fiction genres",25,"20%"
"literary genres",7,"20%"
"book genres list",32,"20%"
"fiction",25,"20%"
"contemporary fiction",1,"20%"
"all genres of books",4,"20%"
"best books",8,"20%"
"tropes",2,"20%"
"horror books",2,"20%"
"hobbies",1,"10%"
